STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        722;20230526;   10;  12.3;   6.5;    9;   0.0;   0;   14.800;   0;   1.4;   7.5;  895.10;    7.0;   76.00;   10.8;    3.4;    1.0;eor
        722;20230527;   10;   9.2;   5.2;    9;   0.0;   0;   14.900;   0;   0.3;   7.6;  894.00;    7.8;   72.00;   11.6;    2.9;    1.2;eor
        722;20230528;   10;  11.7;   5.3;    9;   0.0;   0;   15.200;   0;   1.0;   7.4;  890.30;   10.7;   57.00;   13.8;    7.5;    4.6;eor
        722;20230529;   10;  13.4;   6.7;    9;   0.0;   0;   13.200;   0;   5.3;   8.3;  891.20;    8.4;   75.00;   11.5;    4.0;    2.9;eor
        722;20230530;   10;  12.8;   7.3;    9;   0.0;   0;   15.000;   0;   3.8;   7.7;  893.00;    7.8;   72.00;   10.2;    3.9;    1.8;eor
        722;20230531;   10;  10.6;   6.1;    9;   0.0;   0;   15.600;   0;   4.7;   8.3;  893.40;   11.0;   63.00;   13.9;    7.3;    4.9;eor
        722;20230601;   10;  12.9;   7.2;    9;   0.1;   4;   14.400;   0;   3.8;   7.7;  888.40;    9.9;   67.00;   15.2;    1.7;    1.3;eor
        722;20230602;   10;  14.9;   7.6;    9;   0.0;   0;    5.000;   0;   5.7;   6.7;  888.20;    5.5;   75.00;    8.0;    1.9;   -0.8;eor
        722;20230603;   10;  13.8;   7.1;    9;   0.0;   0;   15.400;   0;   1.4;   5.5;  890.50;    6.9;   56.00;   10.9;    2.5;    0.7;eor
        722;20230604;   10;   9.6;   5.3;    9;   0.0;   0;   15.500;   0;   0.3;   5.9;  891.00;   10.2;   47.00;   13.3;    6.6;    3.6;eor
        722;20230605;   10;  11.0;   6.2;    9;   0.0;   0;   15.200;   0;   1.2;   6.7;  890.70;   12.5;   46.00;   15.5;    9.0;    6.0;eor
        722;20230606;   10;  10.9;   5.7;    9;   1.0;   6;    1.800;   0;   7.8;   8.8;  889.80;   11.9;   63.00;   13.2;    9.7;    7.9;eor
        722;20230607;   10;  11.0;   6.6;    9;   3.5;   6;    2.800;   0;   7.6;  10.8;  889.80;   11.7;   79.00;   13.9;    9.2;    8.6;eor
        722;20230608;   10;  15.6;   6.5;    9;   2.3;   6;    3.700;   0;   7.4;  10.7;  888.50;   13.3;   70.00;   16.4;   10.6;    9.4;eor
        722;20230609;   10;  13.5;   8.3;    9;   0.0;   0;   13.100;   0;   3.1;  10.7;  888.10;   14.2;   66.00;   16.9;   11.3;    9.2;eor
        722;20230610;   10;  18.7;   7.5;    9;   0.0;   0;   14.400;   0;   1.4;  11.1;  889.10;   15.5;   63.00;   18.6;   12.3;    9.2;eor
        722;20230611;   10;  13.3;   7.3;    9;   0.0;   0;   15.500;   0;   0.9;   8.5;  890.60;   15.4;   49.00;   17.9;   12.6;   10.7;eor
        722;20230612;   10;  15.9;   8.2;    9;   0.0;   0;   15.200;   0;   0.3;   8.2;  889.40;   14.1;   51.00;   16.5;   11.9;    9.9;eor
        722;20230613;   10;  14.5;   7.7;    9;   0.0;   0;   11.100;   0;   2.7;   7.6;  886.80;   12.6;   53.00;   15.7;    7.2;    5.9;eor
        722;20230614;   10;  14.3;   9.1;    9;   0.0;   0;    6.700;   0;   5.3;   8.8;  887.90;    9.2;   77.00;   12.6;    4.4;    3.7;eor
        722;20230615;   10;  13.1;   7.4;    9;   0.0;   6;   10.600;   0;   4.5;   8.2;  889.00;   11.1;   62.00;   15.0;    8.7;    4.8;eor
        722;20230616;   10;  15.4;   7.8;    9;  14.6;   6;    1.600;   0;   6.5;  10.2;  887.10;    9.8;   85.00;   14.5;    7.1;    5.5;eor
        722;20230617;   10;  11.2;   6.1;    9;   0.0;   0;   12.400;   0;   3.5;  11.7;  885.80;   12.8;   80.00;   17.0;    9.1;    8.5;eor
        722;20230618;   10;  12.2;   4.3;    9;   0.0;   6;    8.300;   0;   4.5;  11.1;  886.50;   15.3;   64.00;   18.6;   11.3;    7.5;eor
        722;20230619;   10;  13.7;   6.6;    9;   3.5;   6;    7.100;   0;   7.3;  12.6;  885.90;   16.9;   65.00;   21.5;   14.3;   10.4;eor
        722;20230620;   10;  15.3;   6.0;    9;  11.7;   6;    5.400;   0;   7.1;  15.7;  886.10;   16.1;   85.00;   18.3;   12.5;   11.7;eor
        722;20230621;   10;  16.6;   7.1;    9;   0.1;   6;    6.500;   0;   6.6;  15.7;  888.70;   16.0;   87.00;   19.7;   13.6;   10.2;eor
        722;20230622;   10;  33.9;   6.7;    9;  34.8;   6;    3.700;   0;   7.4;  15.3;  888.90;   16.1;   84.00;   19.8;   12.0;   11.3;eor
        722;20230623;   10;  25.5;  10.8;    9;  36.9;   4;    0.000;   0;   7.8;  13.3;  888.00;   11.1;  100.00;   13.6;    8.4;    7.1;eor
        722;20230624;   10;  16.2;   6.4;    9;   0.0;   0;   13.600;   0;   3.0;  10.8;  894.40;   13.9;   68.00;   18.9;    8.8;    6.0;eor
        722;20230625;   10;   7.7;   2.9;    9;   0.0;   0;    7.500;   0;   3.5;  13.0;  891.40;   16.4;   70.00;   20.5;   12.3;    5.8;eor
        722;20230626;   10;  16.4;   8.9;    9;   1.1;   6;    9.400;   0;   3.8;  12.8;  887.20;   15.3;   74.00;   22.0;    7.9;    8.0;eor
        722;20230627;   10;  19.4;   9.7;    9;   0.4;   6;    7.900;   0;   6.6;   9.8;  887.50;    9.0;   86.00;   13.2;    5.8;    5.1;eor
        722;20230628;   10;  11.9;   5.9;    9;   0.0;   0;    9.600;   0;   4.5;  10.2;  888.00;   10.9;   79.00;   16.0;    6.3;    6.3;eor
        722;20230629;   10;  10.8;   5.3;    9;   1.4;   6;    0.400;   0;   7.8;  13.4;  886.60;   13.3;   87.00;   16.9;   10.2;    9.3;eor
        722;20230630;   10;  10.6;   5.5;    9;   4.8;   6;    0.100;   0;   7.8;  12.5;  882.90;   10.5;   98.00;   12.5;    7.5;    5.7;eor
        722;20230701;   10;  26.2;  15.5;    9;   3.2;   4;    0.300;   0;   7.9;  10.9;  877.20;    9.9;   89.00;   12.3;    7.4;    5.7;eor
        722;20230702;   10;  22.9;  13.3;    9;   0.1;   6;    3.300;   0;   7.3;  10.0;  878.90;    9.0;   87.00;   11.8;    7.0;    6.7;eor
        722;20230703;   10;  21.3;  13.3;    9;   0.0;   0;    5.100;   0;   6.8;   8.8;  880.50;    8.8;   78.00;   11.3;    6.0;    5.5;eor
        722;20230704;   10;  27.0;  12.3;    9;   0.8;   6;    5.200;   0;   6.3;   9.4;  882.70;    9.8;   78.00;   13.4;    6.6;    6.3;eor
        722;20230705;   10;  29.5;  17.0;    9;   0.9;   6;    4.600;   0;   6.3;   9.6;  880.80;    9.5;   81.00;   11.6;    7.1;    6.2;eor
        722;20230706;   10;  15.5;   6.9;    9;   0.0;   0;    7.500;   0;   5.1;   9.2;  888.10;   10.2;   76.00;   14.5;    6.6;    3.1;eor
        722;20230707;   10;   9.2;   4.4;    9;   0.0;   0;   14.300;   0;   1.0;   9.3;  892.70;   15.0;   55.00;   20.4;   10.3;    5.8;eor
        722;20230708;   10;   9.3;   5.0;    9;   0.0;   0;   15.300;   0;   1.6;   9.2;  892.70;   19.5;   41.00;   23.6;   15.4;   11.3;eor
        722;20230709;   10;  15.3;   4.3;    9;   4.9;   6;   10.400;   0;   5.8;  12.1;  893.40;   21.6;   48.00;   26.5;   15.0;   13.7;eor
        722;20230710;   10;  24.3;   7.5;    9;   0.1;   6;    6.300;   0;   6.1;  14.0;  891.30;   15.5;   80.00;   19.6;   12.1;    8.7;eor
        722;20230711;   10;  18.6;   6.9;    9;   0.0;   0;   15.100;   0;   3.6;  13.1;  887.60;   17.9;   65.00;   22.3;   12.0;    8.4;eor
        722;20230712;   10;  26.6;  12.5;    9;   0.2;   6;    8.600;   0;   6.1;  12.4;  882.70;   14.4;   76.00;   20.3;   10.2;    7.6;eor
        722;20230713;   10;  16.0;   9.2;    9;   0.1;   6;    5.600;   0;   6.4;  10.2;  886.80;   10.9;   79.00;   14.9;    8.9;    7.3;eor
        722;20230714;   10;  17.4;   7.5;    9;   0.0;   0;   11.700;   0;   5.0;   9.9;  887.10;   14.1;   63.00;   17.2;    8.1;    6.2;eor
        722;20230715;   10;  25.4;  13.1;    9;   3.4;   6;    7.800;   0;   6.1;  12.9;  883.00;   17.9;   63.00;   21.9;   13.9;   13.6;eor
        722;20230716;   10;  23.5;  12.9;    9;   0.0;   0;    9.700;   0;   4.7;  11.3;  885.30;   13.4;   74.00;   16.1;   10.6;    9.3;eor
        722;20230717;   10;  21.6;  11.0;    9;   3.3;   6;    8.900;   0;   4.0;   9.6;  888.70;   11.7;   71.00;   15.7;    7.2;    5.6;eor
        722;20230718;   10;  11.1;   5.6;    9;   0.0;   0;   10.400;   0;   5.1;   9.4;  889.50;   11.7;   71.00;   16.2;    7.1;    5.5;eor
        722;20230719;   10;  15.2;   8.4;    9;   9.4;   6;    6.100;   0;   7.6;  10.7;  884.00;   12.7;   73.00;   15.9;    8.6;    8.7;eor
        722;20230720;   10;  12.1;   5.5;    9;  16.2;   6;    5.000;   0;   6.4;  10.3;  884.00;    9.5;   87.00;   13.1;    7.6;    3.9;eor
        722;20230721;   10;  16.4;   7.7;    9;   2.2;   6;    2.600;   0;   7.7;  10.0;  882.00;    9.1;   87.00;   13.3;    6.7;    6.6;eor
        722;20230722;   10;  16.8;  10.6;    9;   0.7;   6;    4.100;   0;   7.6;   9.5;  883.60;    9.1;   84.00;   13.0;    5.3;    5.2;eor
        722;20230723;   10;  30.7;  15.7;    9;   1.5;   4;    1.700;   0;   7.8;  11.3;  880.20;   11.3;   84.00;   14.8;    8.7;    7.9;eor
        722;20230724;   10;  29.2;  14.3;    9;  18.8;   6;    5.200;   0;   7.3;  12.9;  875.80;   12.1;   92.00;   16.7;    8.5;    8.4;eor
        722;20230725;   10;  13.6;   6.7;    9;   0.0;   6;    2.200;   0;   7.7;  10.0;  876.60;    8.2;   92.00;   11.4;    5.5;    5.5;eor
        722;20230726;   10;  15.2;   9.0;    9;   0.2;   6;-999;   0;   7.0;   9.0;  881.30;    7.4;   88.00;   11.5;    4.7;    5.6;eor
        722;20230727;   10;  23.9;  14.4;    9;  22.0;   4;-999;   0;   7.5;  11.7;  878.10;    9.4;   99.00;   12.1;    6.8;    6.0;eor
        722;20230728;   10;  21.1;  11.2;    9;   1.1;   6;-999;   0;   7.5;  14.4;  879.00;   12.9;   97.00;   16.2;   11.3;   11.4;eor
        722;20230729;   10;  18.6;  10.8;    9;  15.1;   6;-999;   0;   6.2;  14.1;  880.10;   12.7;   96.00;   15.0;   10.8;    9.4;eor
        722;20230730;   10;  20.5;  12.8;    9;  13.7;   4;-999;   0;   7.5;  11.8;  881.60;   10.2;   94.00;   12.2;    8.6;    8.3;eor
        722;20230731;   10;  30.6;  18.0;    9;  19.3;   4;    0.000;   0;   8.0;  12.4;  877.90;   10.1;  100.00;   11.3;    8.8;    9.0;eor
        722;20230801;   10;  29.0;  14.9;    9;  17.3;   6;    1.300;   0;   7.5;  12.1;  871.20;    9.8;  100.00;   11.0;    8.1;    8.1;eor
        722;20230802;   10;  25.2;  15.4;    9;  28.5;   4;    0.100;   0;   7.7;  12.4;  869.10;   10.0;  100.00;   13.0;    7.3;    7.6;eor
        722;20230803;   10;  40.1;  19.3;    9;  24.8;   4;    0.000;   0;   7.8;  12.4;  870.30;   10.1;  100.00;   10.9;    9.3;    9.5;eor
        722;20230804;   10;  13.8;   6.5;    9;   0.0;   0;    5.800;   0;   6.8;  11.3;  882.90;   10.1;   92.00;   14.3;    7.5;    7.0;eor
        722;20230805;   10;  12.7;   4.7;    9;   9.1;   6;    3.200;   0;   7.2;  11.2;  883.60;   10.1;   91.00;   14.8;    7.5;    6.8;eor
        722;20230806;   10;  14.3;   4.7;    9;  27.4;   6;    3.800;   0;   7.7;  10.8;  876.60;   10.1;   88.00;   13.0;    8.2;    7.1;eor
        722;20230807;   10;  26.4;  13.7;    9;  10.7;   6;    0.300;   0;   8.0;  10.1;  879.30;    7.1;  100.00;    8.5;    5.2;    5.6;eor
        722;20230808;   10;  26.2;  15.5;    9;  12.0;   6;    2.000;   0;   7.6;   9.8;  880.70;    6.9;   98.00;    9.3;    5.2;    5.6;eor
        722;20230809;   10;  16.0;   7.8;    9;   0.0;   0;    6.400;   0;   5.5;   8.9;  885.00;    7.9;   84.00;   12.6;    4.4;    2.8;eor
        722;20230810;   10;  10.4;   5.6;    9;   0.0;   0;   11.600;   0;   4.3;   9.6;  890.50;   10.7;   76.00;   15.0;    6.8;    5.6;eor
        722;20230811;   10;  11.9;   6.3;    9;   1.0;   6;   13.300;   0;   3.0;  13.0;  892.40;   15.7;   74.00;   20.3;    9.7;    7.6;eor
        722;20230812;   10;  19.8;  11.2;    9;   0.3;   6;    1.100;   0;   7.6;  15.5;  888.80;   15.4;   89.00;   17.8;   11.2;    9.9;eor
        722;20230813;   10;  12.1;   7.7;    9;   0.0;   0;    6.600;   0;   6.0;  13.2;  889.20;   13.1;   88.00;   16.4;   10.5;    9.3;eor
        722;20230814;   10;  16.0;   8.7;    9;   3.0;   6;    7.000;   0;   6.3;  16.3;  888.40;   16.4;   86.00;   19.7;   12.8;    9.7;eor
        722;20230815;   10;  21.4;   8.9;    9;  13.6;   6;    7.000;   0;   4.5;  16.7;  889.00;   16.9;   88.00;   22.6;   14.0;   12.2;eor
        722;20230816;   10;  10.2;   3.8;    9;  27.4;   6;    2.200;   0;   6.2;  16.3;  892.00;   14.8;   96.00;   19.2;   13.1;    9.2;eor
        722;20230817;   10;  16.1;   5.0;    9;   0.1;   6;    1.000;   0;   7.8;  16.2;  890.40;   14.7;   97.00;   18.4;   12.8;   12.6;eor
        722;20230818;   10;   9.4;   5.3;    9;   0.0;   0;   10.200;   0;   4.2;  17.6;  890.40;   17.9;   87.00;   21.9;   14.0;   13.4;eor
        722;20230819;   10;  14.4;   7.2;    9;   0.2;   6;    8.900;   0;   5.6;  16.5;  891.20;   20.0;   71.00;   23.8;   16.4;   13.3;eor
        722;20230820;   10;   8.7;   3.8;    9;   0.0;   6;    6.300;   0;   4.9;  16.4;  894.30;   18.2;   79.00;   23.0;   14.7;   11.7;eor
        722;20230821;   10;   8.3;   3.1;    9;   0.0;   0;    3.800;   0;   5.7;  15.1;  894.50;   16.0;   83.00;   19.8;   14.1;   10.9;eor
        722;20230822;   10;   9.2;   5.4;    9;   0.0;   0;    5.800;   0;   6.8;  14.2;  891.80;   16.0;   78.00;   21.4;   12.7;   10.2;eor
        722;20230823;   10;  10.2;   6.0;    9;   0.0;   0;   13.500;   0;   2.9;  12.4;  891.30;   14.7;   75.00;   18.7;   11.5;    9.6;eor
        722;20230824;   10;  13.4;   6.6;    9;   0.0;   6;    6.800;   0;   6.3;  13.5;  888.20;   16.5;   72.00;   21.7;   13.1;   10.0;eor
        722;20230825;   10;  20.6;   9.9;    9;   9.3;   6;    4.900;   0;   5.3;  15.1;  882.50;   15.4;   86.00;   18.9;   13.5;   12.6;eor
        722;20230826;   10;  23.7;   8.9;    9;   0.0;   0;    6.700;   0;   4.7;  11.8;  882.40;   11.9;   84.00;   14.0;    8.8;    7.5;eor
        722;20230827;   10;  16.4;   9.6;    9;   1.3;   6;    1.500;   0;   7.6;  10.8;  881.00;   10.0;   88.00;   12.8;    6.4;    5.8;eor
        722;20230828;   10;  17.9;   7.8;    9;   0.0;   0;    3.600;   0;   8.0;   9.9;  881.60;    8.3;   91.00;   13.1;    6.0;    6.3;eor
        722;20230829;   10;  11.5;   6.6;    9;   5.5;   6;    0.900;   0;   7.9;  10.3;  880.60;    8.0;   96.00;   10.1;    6.9;    3.9;eor
        722;20230830;   10;  17.0;   6.9;    9;   9.1;   6;    6.900;   0;   6.3;  10.2;  878.10;    8.6;   91.00;   11.8;    6.4;    4.5;eor
        722;20230831;   10;  23.0;  12.3;    9;  11.8;   6;    1.100;   0;   6.8;   9.1;  879.50;    5.7;   99.00;    7.1;    4.3;    4.5;eor
        722;20230901;   10;  12.1;   6.8;    9;   0.4;   6;    3.700;   0;   7.7;  11.1;  884.50;    8.8;   97.00;   11.2;    5.9;    4.8;eor
        722;20230902;   10;   9.5;   4.4;    9;   0.9;   6;    2.900;   0;   7.2;  13.0;  891.00;   11.5;   95.00;   14.5;    9.1;    6.6;eor
        722;20230903;   10;  10.7;   5.2;    9;   0.0;   0;    9.000;   0;   7.8;  10.9;  896.30;   10.6;   86.00;   14.3;    8.0;    3.6;eor
        722;20230904;   10;   8.6;   4.2;    9;   0.0;   0;   12.900;   0;   1.9;  10.2;  897.80;   14.4;   62.00;   20.6;    9.4;    2.5;eor
        722;20230905;   10;  10.4;   4.4;    9;   0.0;   0;   13.200;   0;   0.8;  11.4;  895.10;   18.5;   54.00;   22.1;   14.4;    7.7;eor
        722;20230906;   10;  12.3;   5.3;    9;   0.0;   0;   13.100;   0;   0.5;   9.9;  894.90;   19.5;   44.00;   23.1;   15.9;    5.9;eor
        722;20230907;   10;  16.2;   9.7;    9;   0.0;   0;   13.000;   0;   2.0;  12.2;  894.50;   17.3;   62.00;   20.2;   15.2;   12.3;eor
        722;20230908;   10;  12.9;   7.5;    9;   0.0;   0;   12.900;   0;   0.0;  10.4;  892.30;   18.5;   50.00;   22.6;   15.9;   11.3;eor
        722;20230909;   10;   8.7;   3.5;    9;   0.0;   0;   12.500;   0;   3.8;  11.8;  891.00;   19.0;   54.00;   25.3;   15.0;    5.5;eor
        722;20230910;   10;   8.0;   3.6;    9;   0.0;   0;    9.200;   0;   2.1;  15.3;  890.90;   18.2;   73.00;   24.1;   15.6;    9.2;eor
        722;20230911;   10;  10.3;   5.2;    9;   0.0;   0;   11.900;   0;   2.2;  14.5;  887.90;   18.6;   68.00;   22.7;   16.1;   11.5;eor
        722;20230912;   10;  23.7;   4.4;    9;  17.0;   4;    6.600;   0;   6.3;  14.8;  886.10;   16.1;   81.00;   19.2;   10.3;    9.3;eor
        722;20230913;   10;  21.8;  10.0;    9;   2.5;   4;    0.300;   0;   7.8;  12.7;  885.70;   10.3;  100.00;   13.5;    3.8;    4.7;eor
        722;20230914;   10;  10.3;   4.4;    9;   0.0;   0;    5.300;   0;   4.3;   9.5;  891.30;    7.8;   89.00;   13.1;    3.6;    2.8;eor
        722;20230915;   10;  13.0;   7.9;    9;   0.0;   0;   11.200;   0;   1.7;  10.7;  890.10;   10.4;   85.00;   14.6;    6.8;    5.6;eor
        722;20230916;   10;   9.9;   4.9;    9;   0.0;   4;   11.500;   0;   2.8;  11.6;  887.90;   14.9;   69.00;   18.6;   11.4;    5.9;eor
        722;20230917;   10;  16.0;   7.4;    9;   0.0;   4;    6.300;   0;   6.3;  14.2;  887.30;   16.5;   76.00;   19.2;   14.5;    8.7;eor
        722;20230918;   10;  27.0;  14.9;    9;   0.7;   6;    2.100;   0;   7.3;  14.5;  880.10;   14.1;   90.00;   17.0;    9.0;    9.2;eor
        722;20230919;   10;  28.9;  19.1;    9;   0.0;   0;    6.400;   0;   6.4;   9.7;  879.80;    8.3;   89.00;   10.0;    5.9;    6.2;eor
        722;20230920;   10;  26.6;  16.9;    9;   0.0;   0;    6.500;   0;   7.6;  11.9;  880.50;   11.2;   90.00;   14.1;    8.1;    8.1;eor
        722;20230921;   10;  23.5;  13.2;    9;   3.1;   4;    5.800;   0;   4.9;  11.7;  874.90;   13.5;   75.00;   15.6;   10.0;    9.9;eor
        722;20230922;   10;  20.1;  11.7;    9;   0.5;   6;    0.100;   0;   7.6;  10.7;  874.20;    8.0;  100.00;   10.0;    5.9;    6.3;eor
        722;20230923;   10;  20.4;  12.2;    9;   0.0;   4;    1.300;   0;   7.5;   9.0;  883.00;    5.8;   98.00;    7.9;    4.3;    4.6;eor
        722;20230924;   10;  16.8;   6.4;    9;   0.0;   0;    4.100;   0;   5.0;   9.4;  894.10;    7.9;   89.00;   12.8;    5.7;    5.1;eor
        722;20230925;   10;  17.5;   9.3;    9;   0.0;   0;   11.000;   0;   4.5;   8.6;  893.90;    9.4;   73.00;   12.1;    6.4;    4.7;eor
        722;20230926;   10;  10.1;   5.1;    9;   0.0;   0;   11.000;   0;   3.4;  10.9;  892.70;   12.9;   73.00;   18.9;    9.7;   -0.4;eor
        722;20230927;   10;  14.5;   5.8;    9;   0.0;   0;    9.900;   0;   5.8;  12.9;  891.50;   15.0;   77.00;   19.7;   11.8;    6.6;eor
        722;20230928;   10;  16.7;   8.1;    9;   0.0;   0;    8.200;   0;   6.0;  13.4;  889.30;   15.8;   76.00;   21.8;   12.6;    9.1;eor
        722;20230929;   10;  20.5;  13.7;    9;   7.7;   6;    2.100;   0;   7.9;  13.7;  888.60;   13.1;   90.00;   16.8;    6.1;    6.5;eor
        722;20230930;   10;  15.1;   7.7;    9;   0.0;   0;    7.400;   0;   6.2;   9.2;  893.70;    7.6;   89.00;   11.9;    5.0;    4.7;eor
        722;20231001;   10;  13.8;   9.3;    9;   0.0;   0;    3.000;   0;   7.9;  10.8;  893.20;   10.0;   86.00;   14.0;    6.8;    5.7;eor
        722;20231002;   10;  19.2;  10.0;    9;   0.0;   0;    8.000;   0;   6.2;  13.0;  891.60;   14.5;   79.00;   17.4;   11.7;    9.8;eor
        722;20231003;   10;  29.2;  18.0;    9;  20.9;   4;    1.500;   0;   7.8;  11.4;  884.30;   10.8;   88.00;   15.3;    5.0;    5.4;eor
        722;20231004;   10;  24.4;  14.5;    9;   0.1;   4;    0.500;   0;   7.9;   9.2;  891.70;    5.8;   99.00;    6.8;    5.2;    5.2;eor
        722;20231005;   10;  23.3;  14.2;    9;   0.8;   4;    0.200;   0;   8.0;   9.6;  890.80;    6.3;  100.00;    7.3;    5.3;    5.5;eor
        722;20231006;   10;  27.3;  14.4;    9;   0.4;   4;    2.900;   0;   7.7;   9.8;  891.00;    7.5;   94.00;    9.9;    5.5;    5.1;eor
        722;20231007;   10;  31.2;  19.1;    9;   6.1;   6;    0.100;   0;   8.0;  12.1;  887.10;    9.7;  100.00;   11.7;    7.5;    7.6;eor
        722;20231008;   10;  22.1;   7.3;    9;   1.9;   6;    5.200;   0;   7.3;   8.0;  891.50;    5.7;   86.00;   10.5;   -0.5;    1.0;eor
        722;20231009;   10;  24.8;  13.6;    9;  27.1;   4;    0.000;   0;   8.0;  11.8;  887.20;    9.4;  100.00;   10.4;    7.3;    7.5;eor
        722;20231010;   10;  20.9;  11.1;    9;   0.0;   0;    6.300;   0;   7.8;  11.4;  888.60;   11.3;   86.00;   15.1;    7.8;    7.9;eor
        722;20231011;   10;  30.6;  19.7;    9;   4.8;   6;    7.500;   0;   6.9;  10.2;  883.50;   12.6;   70.00;   14.9;   10.8;    9.6;eor
        722;20231012;   10;  25.4;  13.6;    9;  12.9;   8;    0.000;   0;   7.9;  11.6;  883.10;    9.7;   96.00;   11.5;    9.1;    9.2;eor
        722;20231013;   10;  34.8;  18.8;    9;  20.7;   4;    2.000;   0;   6.6;  12.6;  879.10;   11.9;   91.00;   13.9;    9.9;   10.0;eor
        722;20231014;   10;  39.7;  16.5;    9;   2.6;   8;    3.500;   0;   7.2;   8.3;  876.90;    4.7;   94.00;   10.7;    0.0;    0.4;eor
        722;20231015;   10;  21.2;  13.3;    9;   0.5;   8;    0.600;   0;   7.8;   5.7;  883.20;   -0.5;   97.00;    0.2;   -1.1;   -0.7;eor
        722;20231016;   10;  18.6;   8.0;    9;   0.9;   8;    0.000;   0;   7.9;   6.0;  887.00;    0.1;   97.00;    1.3;   -1.2;   -1.1;eor
        722;20231017;   10;   9.6;   3.7;    9;   0.0;   0;    3.600;   0;   6.3;   6.1;  886.60;    1.1;   92.00;    4.1;   -0.1;   -5.4;eor
        722;20231018;   10;  18.0;  11.0;    9;  12.1;   4;    7.300;   0;   7.5;   4.6;  878.90;    2.7;   65.00;    7.9;   -0.2;   -2.0;eor
        722;20231019;   10;  16.9;   8.9;    9;   6.1;   4;    0.100;   0;   8.0;   9.8;  866.90;    6.8;   98.00;    8.8;    1.7;    1.5;eor
        722;20231020;   10;  21.3;  11.6;    9;   8.3;   4;    0.000;   0;   8.0;   8.8;  858.80;    5.1;   99.00;    8.9;    1.5;    2.4;eor
        722;20231021;   10;  28.9;  15.2;    9;   4.3;   4;    1.000;   0;   7.0;   9.3;  867.30;    6.7;   95.00;    7.5;    5.1;    4.2;eor
        722;20231022;   10;  25.3;  14.2;    9;   2.4;   4;    0.000;   0;   6.5;   8.5;  876.90;    5.0;   97.00;    5.8;    3.9;    3.4;eor
        722;20231023;   10;  15.9;   7.1;    9;   0.3;   6;    2.400;   0;   7.1;   8.7;  881.90;    5.4;   96.00;    7.2;    4.4;    3.6;eor
        722;20231024;   10;  20.1;  11.1;    9;   3.8;   4;    0.000;   0;   7.7;   8.9;  874.40;    5.6;   97.00;    7.5;    2.8;    1.9;eor
        722;20231025;   10;  16.0;   9.0;    9;  10.6;   4;    3.700;   0;  -999;   7.8;  869.30;    4.2;   95.00;    6.5;    3.0;    1.4;eor
        722;20231026;   10;  15.3;   8.2;    9;   1.2;   6;    0.100;   0;   8.0;   8.0;  864.80;    4.0;   98.00;    6.0;    1.6;   -2.1;eor
        722;20231027;   10;  22.3;   7.6;    9;   9.8;   4;    0.000;   0;   7.9;   7.5;  864.00;    3.2;   97.00;    4.3;    1.7;   -2.3;eor
        722;20231028;   10;  20.8;  12.7;    9;  25.2;   4;    0.000;   0;   7.9;   8.1;  868.80;    4.1;   99.00;    5.0;    3.4;    3.4;eor
        722;20231029;   10;  37.5;  22.0;    9;   1.6;   4;    0.000;   0;   7.8;   9.1;  867.50;    5.8;   98.00;    6.8;    4.6;    4.8;eor
        722;20231030;   10;  26.0;  15.8;    9;   7.2;   4;    2.100;   0;   7.6;   8.9;  870.90;    5.7;   97.00;    7.3;    4.5;    4.6;eor
        722;20231031;   10;  30.4;  15.9;    9;   6.7;   4;    0.000;   0;   8.0;   8.0;  869.30;    4.0;   99.00;    6.8;    2.3;    2.3;eor
        722;20231101;   10;  24.2;  14.6;    9;   1.7;   4;    0.000;   0;   8.0;   8.5;  872.50;    4.8;   99.00;    5.9;    3.5;    3.6;eor
        722;20231102;   10;  39.5;  21.6;    9;   0.0;   6;    0.000;   0;   7.7;   7.6;  857.90;    3.5;   96.00;    4.8;    2.0;    2.2;eor
        722;20231103;   10;  28.2;  17.0;    9;   0.0;   0;    0.100;   0;   7.8;   6.4;  856.40;    1.0;   98.00;    2.0;   -0.4;   -0.2;eor
        722;20231104;   10;  29.8;  19.1;    9;   3.9;   8;    0.000;   0;   7.9;   6.2;  854.20;    0.4;   98.00;    2.8;   -0.6;   -0.4;eor
        722;20231105;   10;  35.8;  19.4;    9;  16.9;   4;    0.000;   0;   7.9;   7.5;  850.90;    3.0;   99.00;    3.9;    1.8;    1.9;eor
        722;20231106;   10;  30.8;  19.3;    9;   3.4;   4;    0.000;   0;   7.7;   7.1;  868.70;    2.3;   98.00;    2.9;    1.8;    1.7;eor
        722;20231107;   10;  25.4;  15.9;    9;   3.9;   8;    0.000;   0;   8.0;   6.8;  876.70;    1.7;   99.00;    2.2;    0.8;    1.0;eor
        722;20231108;   10;  25.7;  17.4;    9;   2.1;   8;    0.000;   0;   7.8;   6.5;  878.10;    1.1;   99.00;    1.7;    0.4;    0.6;eor
        722;20231109;   10;  28.5;  17.7;    9;   3.3;   8;    0.000;   0;   8.0;   6.8;  870.90;    1.7;   99.00;    2.7;    1.2;    1.4;eor
        722;20231110;   10;  25.7;  16.0;    9;   0.9;   8;    0.000;   0;   7.8;   6.1;  866.80;    0.1;   99.00;    1.6;   -0.4;   -0.3;eor
